Price,equity
Ticker,
Date,
2022-02-14,18295.603583873908
2022-02-15,18295.603583873908
2022-02-16,18295.603583873908
2022-02-17,18295.603583873908
2022-02-18,18295.603583873908
2022-02-22,18295.603583873908
2022-02-23,18295.603583873908
2022-02-24,18295.603583873908
2022-02-25,18295.603583873908
2022-02-28,18295.603583873908
2022-03-01,18295.603583873908
2022-03-02,18295.603583873908
2022-03-03,18295.603583873908
2022-03-04,18295.603583873908
2022-03-07,18295.603583873908
2022-03-08,18295.603583873908
2022-03-09,18295.603583873908
2022-03-10,18295.603583873908
2022-03-11,18295.603583873908
2022-03-14,18295.603583873908
2022-03-15,18295.603583873908
2022-03-16,18295.603583873908
2022-03-17,18295.603583873908
2022-03-18,18295.603583873908
2022-03-21,18295.603583873908
2022-03-22,18295.603583873908
2022-03-23,18295.603583873908
2022-03-24,18295.603583873908
2022-03-25,18295.603583873908
2022-03-28,18295.603583873908
2022-03-29,18295.603583873908
2022-03-30,18295.603583873908
2022-03-31,18295.603583873908
2022-04-01,18295.603583873908
2022-04-04,18295.603583873908
2022-04-05,18295.603583873908
2022-04-06,17958.036541669688
2022-04-07,17990.4346521679
2022-04-08,17776.188243474728
2022-04-11,17322.61144433043
2022-04-12,17522.227969458432
2022-04-13,17808.584727888297
2022-04-14,17274.53462567001
2022-04-18,17251.540162682897
2022-04-19,17495.052842844994
2022-04-20,17477.286241996593
2022-04-21,17392.62902312699
2022-04-22,16908.750136593902
2022-04-25,17022.663870424556
2022-04-26,16387.245277423885
2022-04-27,16363.205242009028
2022-04-28,17102.093227155445
2022-04-29,16476.079907750525
2022-05-02,16508.47639216409
2022-05-03,16667.32860128729
2022-05-04,16667.32860128729
2022-05-05,16667.32860128729
2022-05-06,16667.32860128729
2022-05-09,16667.32860128729
2022-05-10,16667.32860128729
2022-05-11,16667.32860128729
2022-05-12,16667.32860128729
2022-05-13,16667.32860128729
2022-05-16,16667.32860128729
2022-05-17,16667.32860128729
2022-05-18,16667.32860128729
2022-05-19,16667.32860128729
2022-05-20,16667.32860128729
2022-05-23,16667.32860128729
2022-05-24,16667.32860128729
2022-05-25,16667.32860128729
2022-05-26,16667.32860128729
2022-05-27,16667.32860128729
2022-05-31,16667.32860128729
2022-06-01,16667.32860128729
2022-06-02,16667.32860128729
2022-06-03,16667.32860128729
2022-06-06,16667.32860128729
2022-06-07,16667.32860128729
2022-06-08,16667.32860128729
2022-06-09,16667.32860128729
2022-06-10,16667.32860128729
2022-06-13,16667.32860128729
2022-06-14,16667.32860128729
2022-06-15,16667.32860128729
2022-06-16,16667.32860128729
2022-06-17,16667.32860128729
2022-06-21,16667.32860128729
2022-06-22,16667.32860128729
2022-06-23,16667.32860128729
2022-06-24,16667.32860128729
2022-06-27,16667.32860128729
2022-06-28,16667.32860128729
2022-06-29,16667.32860128729
2022-06-30,16667.32860128729
2022-07-01,16667.32860128729
2022-07-05,16667.32860128729
2022-07-06,16667.32860128729
2022-07-07,16667.32860128729
2022-07-08,16667.32860128729
2022-07-11,16667.32860128729
2022-07-12,16667.32860128729
2022-07-13,16667.32860128729
2022-07-14,16667.32860128729
2022-07-15,16667.32860128729
2022-07-18,16667.32860128729
2022-07-19,16667.32860128729
2022-07-20,16667.32860128729
2022-07-21,16918.907299502847
2022-07-22,16781.679017151728
2022-07-25,16657.525009953526
2022-07-26,16510.499904367593
2022-07-27,17075.732612373067
2022-07-28,17136.719952040698
2022-07-29,17698.690436350716
2022-08-01,17589.779880019945
2022-08-02,17426.416583560895
2022-08-03,18092.935584426323
2022-08-04,18058.08495089136
2022-08-05,18033.002376170658
2022-08-08,17980.654514816837
2022-08-09,17986.10621852367
2022-08-10,18457.24712285649
2022-08-11,18375.45126295713
2022-08-12,18769.156655141214
2022-08-15,18888.02985313115
2022-08-16,18870.5816940297
2022-08-17,19036.351049666628
2022-08-18,18992.72726786353
2022-08-19,18705.90031029951
2022-08-22,18275.11588800011
2022-08-23,18238.036857884792
2022-08-24,18270.75215620001
2022-08-25,18543.401638481737
2022-08-26,17844.329773675974
2022-08-29,17600.03693398358
2022-08-30,17330.661519570484
2022-08-31,17146.345880776946
2022-09-01,17227.052076744832
2022-09-02,16992.576364584107
2022-09-06,16852.977555574616
2022-09-07,17008.93316772935
2022-09-08,16845.343139955363
2022-09-09,17162.709452021136
2022-09-12,17823.609238730634
2022-09-13,16777.728139387775
2022-09-14,16938.04409929313
2022-09-15,16617.40879543294
2022-09-16,16435.282636650776
2022-09-19,16847.525851867777
2022-09-20,16847.525851867777
2022-09-21,16847.525851867777
2022-09-22,16847.525851867777
2022-09-23,16847.525851867777
2022-09-26,16847.525851867777
2022-09-27,16847.525851867777
2022-09-28,16847.525851867777
2022-09-29,16847.525851867777
2022-09-30,16847.525851867777
2022-10-03,16847.525851867777
2022-10-04,16847.525851867777
2022-10-05,16847.525851867777
2022-10-06,16847.525851867777
2022-10-07,16847.525851867777
2022-10-10,16847.525851867777
2022-10-11,16847.525851867777
2022-10-12,16847.525851867777
2022-10-13,16847.525851867777
2022-10-14,16847.525851867777
2022-10-17,16847.525851867777
2022-10-18,16847.525851867777
2022-10-19,16847.525851867777
2022-10-20,16847.525851867777
2022-10-21,16847.525851867777
2022-10-24,16847.525851867777
2022-10-25,16847.525851867777
2022-10-26,16847.525851867777
2022-10-27,16847.525851867777
2022-10-28,16847.525851867777
