Price,price,ma_fast,ma_slow,signal,position,returns,strategy_returns,equity
Ticker,AAPL,,,,,,,
Date,,,,,,,,
2020-09-16,108.9652099609375,117.60891609191894,106.88028106689453,1,1.0,-0.029513554327798452,-0.029513554327798452,15335.096014211655
2020-09-17,107.22572326660156,117.34811515808106,107.17510025024414,1,1.0,-0.01596368873110532,-0.01596368873110532,15090.291314779168
2020-09-18,103.82450866699219,116.7925018310547,107.39394088745117,1,1.0,-0.03172013669847429,-0.03172013669847429,14611.625211454573
2020-09-21,106.97306823730469,116.09816780090333,107.67250305175781,1,1.0,0.030325783485392943,0.030325783485392943,15054.734193986855
2020-09-22,108.65426635742188,115.41561813354492,107.99327377319337,1,1.0,0.015716087682814628,0.015716087682814628,15291.335716621019
2020-09-23,104.09661865234375,114.55535354614258,108.19223846435547,1,1.0,-0.041946329931358495,-0.041946329931358495,14649.920303560468
2020-09-24,105.16557312011719,113.66605720520019,108.39963272094727,1,1.0,0.010268868303431322,0.010268868303431322,14800.358405813497
2020-09-25,109.11097717285156,113.04752120971679,108.70926391601563,1,1.0,0.03751611801923094,0.03751611801923094,15355.610398492912
2020-09-28,111.71533203125,112.56904373168945,109.07476531982422,1,1.0,0.02386886201443028,0.02386886201443028,15722.13134424189
2020-09-29,110.86991119384766,111.84264106750489,109.38397537231445,1,1.0,-0.007567634827114422,-0.007567634827114422,15603.151995524739
2020-09-30,112.54135131835938,110.9500659942627,109.75295043945313,1,1.0,0.015075687411612915,0.015075687411612915,15838.380237645153
2020-10-01,113.49369049072266,110.2401840209961,110.13568572998047,1,1.0,0.00846212668683255,0.00846212668683255,15972.406617730332
2020-10-02,109.83009338378906,109.8582763671875,110.531044921875,0,1.0,-0.03228018307531433,-0.03228018307531433,15456.814407956635
2020-10-05,113.21187591552734,109.64156990051269,110.99850204467774,0,0.0,0.030791037570377267,0.0,15456.814407956635
2020-10-06,109.96615600585938,109.65809059143066,111.35846054077149,0,0.0,-0.028669429628475962,-0.0,15456.814407956635
2020-10-07,111.83196258544922,109.54925117492675,111.78595123291015,0,0.0,0.016967098308778183,0.0,15456.814407956635
2020-10-08,111.72505950927734,109.62116317749023,112.17662521362304,0,0.0,-0.0009559259598095338,-0.0,15456.814407956635
2020-10-09,113.6686019897461,109.86264915466309,112.58385971069336,0,0.0,0.017395761425460288,0.0,15456.814407956635
2020-10-12,120.888916015625,110.3018928527832,112.94013717651367,0,0.0,0.06352074275119746,0.0,15456.814407956635
2020-10-13,117.68203735351562,110.57204666137696,113.18033203125,0,0.0,-0.02652748298028318,-0.0,15456.814407956635
2020-10-14,117.7695083618164,111.0122615814209,113.40816253662109,0,0.0,0.0007432825796347409,0.0,15456.814407956635
2020-10-15,117.30303192138672,111.51612701416016,113.61895202636718,0,0.0,-0.003960927127220071,-0.0,15456.814407956635
2020-10-16,115.6607437133789,112.10793876647949,113.7223974609375,0,0.0,-0.014000390110192829,-0.0,15456.814407956635
2020-10-19,112.7065658569336,112.39461364746094,113.81699981689454,0,0.0,-0.025541750481616443,-0.0,15456.814407956635
2020-10-20,114.193359375,112.67156829833985,113.90994995117188,0,0.0,0.013191720524549533,0.0,15456.814407956635
2020-10-21,113.5714340209961,113.14530906677246,114.05561920166015,0,0.0,-0.005446247990319342,-0.0,15456.814407956635
2020-10-22,112.48307037353516,113.51118392944336,114.10887298583984,0,0.0,-0.009583075681334874,-0.0,15456.814407956635
2020-10-23,111.7930908203125,113.64528961181641,114.10945602416992,0,0.0,-0.0061340746739163565,-0.0,15456.814407956635
2020-10-26,111.80280303955078,113.64966316223145,114.11222564697266,0,0.0,8.687673958207576e-05,0.0,15456.814407956635
2020-10-27,113.30905151367188,113.77162017822266,114.15095092773437,0,0.0,0.013472367715040567,0.0,15456.814407956635
2020-10-28,108.06147766113281,113.54762649536133,114.0661636352539,0,0.0,-0.04631204464637051,-0.0,15456.814407956635
2020-10-29,112.06517791748047,113.47620086669922,114.05863235473633,0,0.0,0.037050208298120335,0.0,15456.814407956635
2020-10-30,105.78752899169922,113.27407264709473,113.87564743041992,0,0.0,-0.05601783749813716,-0.0,15456.814407956635
2020-11-02,105.70004272460938,112.89848098754882,113.57245330810547,0,0.0,-0.000826999816743168,-0.0,15456.814407956635
2020-11-03,107.32290649414062,112.7663185119629,113.27280624389648,0,0.0,0.015353482625919623,0.0,15456.814407956635
2020-11-04,111.70563507080078,112.76000213623047,113.08088073730468,0,0.0,0.0408368420109777,0.0,15456.814407956635
2020-11-05,115.67048645019531,112.95727348327637,112.9352604675293,1,0.0,0.03549374547561146,0.0,15456.814407956635
2020-11-06,115.53907012939453,113.0507968902588,112.8164079284668,1,1.0,-0.0011361266372590384,-0.0011361266372590384,15439.25350938059
2020-11-09,113.23196411132812,112.66794929504394,112.65534957885743,1,1.0,-0.019968189249598756,-0.019968189249598756,15130.959573432745
2020-11-10,112.8912582397461,112.42841033935547,112.40521545410157,1,1.0,-0.003008919559560508,-0.003008919559560508,15085.431733217325
2020-11-11,116.31780242919922,112.3558250427246,112.12371444702148,1,1.0,0.03035260872171519,0.03035260872171519,15543.313940013817
2020-11-12,116.04524993896484,112.29293594360351,111.89079284667969,1,1.0,-0.0023431709036996207,-0.0023431709036996207,15506.893299042507
2020-11-13,116.09392547607422,112.31459503173828,111.86330642700196,1,1.0,0.0004194530765797566,0.0004194530765797566,15513.397713144985
2020-11-16,117.10630798339844,112.53458213806152,111.85451248168945,1,1.0,0.008720374499980643,0.008720374499980643,15648.680350970752
2020-11-17,116.220458984375,112.63593711853028,111.98620681762695,1,1.0,-0.007564485758948303,-0.007564485758948303,15530.306131309499
2020-11-18,114.8965835571289,112.70219459533692,112.00396347045898,1,1.0,-0.011391070374486167,-0.011391070374486167,15353.39932123044
2020-11-19,115.4903793334961,112.85256004333496,112.10803466796875,1,1.0,0.005168089058731118,0.005168089058731118,15432.74705627682
2020-11-20,114.22488403320312,112.97414970397949,112.21575469970703,1,1.0,-0.010957581987315668,-0.010957581987315668,15263.64146511816
2020-11-23,110.82752227783203,112.92538566589356,112.19022430419922,1,1.0,-0.029742746373754625,-0.029742746373754625,14809.658848281226
2020-11-24,112.11248016357422,112.86555709838868,112.18689468383789,1,1.0,0.011594212875398746,0.011594212875398746,14981.36518558023
2020-11-25,112.94966125488281,113.10996627807617,112.2665837097168,1,1.0,0.007467331826814805,0.007467331826814805,15093.23601063965
2020-11-27,113.49480438232422,113.18144760131835,112.39196533203125,1,1.0,0.004826425518986044,0.004826425518986044,15166.08239008548
2020-11-30,115.88951110839844,113.68654670715333,112.63326538085937,1,1.0,0.02109970354243962,0.02109970354243962,15486.082232416498
2020-12-01,119.46206665039062,114.37464790344238,112.88304534912109,1,1.0,0.030827255269465725,0.030827255269465725,15963.475642519139
2020-12-02,119.81251525878906,114.9991283416748,113.10621032714843,1,1.0,0.002933555548005451,0.002933555548005451,16010.3053850557
2020-12-03,119.67623138427734,115.39765815734863,113.41780258178711,1,1.0,-0.0011374761160580782,-0.0011374761160580782,15992.094045069405
2020-12-04,119.00455474853516,115.56436157226562,113.69458221435546,1,1.0,-0.005612448085747679,-0.005612448085747679,15902.339247459058
2020-12-07,120.46471405029297,115.81064376831054,113.9216569519043,1,1.0,0.012269776605132732,0.012269776605132732,16097.457397524415
2020-12-08,121.0780029296875,116.20294570922852,114.10891036987304,1,1.0,0.005091025070947275,0.005091025070947275,16179.409956713716
2020-12-09,118.54703521728516,116.48573455810546,114.2624528503418,1,1.0,-0.020903612969831786,-0.020903612969831786,15841.20183289833
2020-12-10,119.96824645996094,116.66825675964355,114.41099075317383,1,1.0,0.011988585290815923,0.011988585290815923,16031.115432181063
2020-12-11,119.16030883789062,116.82400970458984,114.52432312011719,1,1.0,-0.006734595577671976,-0.006734595577671976,15923.152353086347
2020-12-14,118.54703521728516,116.9466651916504,114.6986619567871,1,1.0,-0.0051466266459563315,-0.0051466266459563315,15841.20183289833
2020-12-15,124.48507690429688,117.31560363769532,114.9241259765625,1,1.0,0.05009017455500153,0.05009017455500153,16634.690397869217
2020-12-16,124.41695404052734,117.72542839050293,115.21314193725586,1,1.0,-0.0005472371907028206,-0.0005472371907028206,16625.587276627677
2020-12-17,125.28333282470703,118.24476585388183,115.48216934204102,1,1.0,0.006963510647411297,0.006963510647411297,16741.35973064794
2020-12-18,123.29747009277344,118.6351203918457,115.71361755371093,1,1.0,-0.01585097304772498,-0.01585097304772498,16475.99288877517
2020-12-21,124.82579040527344,119.16516571044922,115.93676132202148,1,1.0,0.012395390686849028,0.012395390686849028,16680.219257585286
2020-12-22,128.37889099121094,120.04273414611816,116.0865608215332,1,1.0,0.02846447496468163,0.02846447496468163,17155.012941048222
2020-12-23,127.48333740234375,120.81127700805663,116.28258682250977,1,1.0,-0.006975863258769643,-0.006975863258769643,17035.341916569047
2020-12-24,128.46649169921875,121.58711853027344,116.49652648925782,1,1.0,0.007712021954462411,0.007712021954462411,17166.718847431403
2020-12-28,133.06117248535156,122.5654369354248,116.81168930053711,1,1.0,0.03576559712466065,0.03576559712466065,17780.696797680954
2020-12-29,131.28948974609375,123.33543586730957,117.12426422119141,1,1.0,-0.013314798796417171,-0.013314798796417171,17543.95039735973
2020-12-30,130.17001342773438,123.87083320617675,117.47353317260742,1,1.0,-0.008526777890022874,-0.008526777890022874,17394.357029007864
2020-12-31,129.16737365722656,124.33857612609863,117.77301345825195,1,1.0,-0.007702540271031344,-0.007702540271031344,17260.376293503236
2021-01-04,125.97447204589844,124.65348815917969,118.02107421875,1,1.0,-0.024719102981850316,-0.024719102981850316,16833.71527439864
2021-01-05,127.53197479248047,125.07985916137696,118.3220523071289,1,1.0,0.012363637817148776,0.012363637817148776,17041.84123316831
2021-01-06,123.23906707763672,125.21857681274415,118.5509718322754,1,1.0,-0.03366142272813666,-0.03366142272813666,16468.18861135284
2021-01-07,127.44439697265625,125.53689651489258,118.8638037109375,1,1.0,0.03412335061227223,0.03412335061227223,17030.13838528706
2021-01-08,128.54443359375,126.03676643371583,119.16851135253906,1,1.0,0.00863150242163857,0.00863150242163857,17177.134066000504
2021-01-11,125.55590057373047,126.3161491394043,119.51839981079101,1,1.0,-0.02324902709878862,-0.02324902709878862,16777.782410620533
2021-01-12,125.38066864013672,126.62716712951661,119.78470962524415,1,1.0,-0.0013956487332974499,-0.0013956487332974499,16754.36651985161
2021-01-13,127.41519165039062,127.07057495117188,120.21726287841797,1,1.0,0.016226767908642525,0.016226767908642525,17026.235736825576
2021-01-14,125.48772430419922,127.12070732116699,120.61301651000977,1,1.0,-0.01512745318062314,-0.01512745318062314,16768.672152874493
2021-01-15,123.76473236083984,127.08809623718261,120.94185302734375,1,1.0,-0.0137303624949211,-0.0137303624949211,16538.432205657038
2021-01-19,124.43639373779297,127.04574928283691,121.1964682006836,1,1.0,0.0054269206109125445,0.0054269206109125445,16628.184964266096
2021-01-20,128.52491760253906,127.3071216583252,121.45355682373047,1,1.0,0.032856335208180765,0.032856335208180765,17174.526183355658
2021-01-21,133.23641967773438,127.72765312194824,121.80750381469727,1,1.0,0.03665827734483007,0.03665827734483007,17804.114727451153
2021-01-22,135.3780059814453,128.07760887145997,122.25042465209961,1,1.0,0.016073580398594522,0.016073580398594522,18090.290596948642
2021-01-25,139.12579345703125,128.65973167419435,122.77511535644531,1,1.0,0.02768387263806793,0.02768387263806793,18591.099897820204
2021-01-26,139.3594207763672,129.20437812805176,123.23594772338868,1,1.0,0.0016792523767930057,0.0016792523767930057,18622.319046510816
2021-01-27,138.2886505126953,129.46575202941895,123.68081573486329,1,1.0,-0.007683515457416856,-0.007683515457416856,18479.234170264
